Unnamed..0_comp1	ensembl_gene_id	mgi_symbol_comp1	chromosome_name_comp1	start_position_comp1	end_position_comp1	strand_comp1	gene_biotype_comp1	baseMean_comp1	log2FoldChange_comp1	lfcSE_comp1	pvalue_comp1	padj_comp1	isTF_comp1	Unnamed..0_comp2	mgi_symbol_comp2	chromosome_name_comp2	start_position_comp2	end_position_comp2	strand_comp2	gene_biotype_comp2	baseMean_comp2	log2FoldChange_comp2	lfcSE_comp2	pvalue_comp2	padj_comp2	isTF_comp2	score	p	convergence	p.adjust_score
968	ENSMUSG00000000001	Gnai3	3	108014596	108053462	-1	protein_coding	250.902855845722	0.295612771109181	0.134115827554016	0.0019953237888758	0.0252128240920248		1620	Gnai3	3	108014596	108053462	-1	protein_coding	250.902855845722	0.619364072369892	0.129100311403795	1.89302778858945e-07	1.89442916634782e-06		0.428104420642784	0.0072	high	0.0905557924003707
3591	ENSMUSG00000000028	Cdc45	16	18599197	18630737	-1	protein_coding	35.93746	0.1373606	0.1781685	0.09973437	0.34028		12159	Cdc45	16	18599197	18630737	-1	protein_coding	35.9374579346801	0.115046523028942	0.228092177373372	0.516078477581408	0.688698454663707		0.00856568269617131	0.080575	high	0.110161425225828
44	ENSMUSG00000000031	H19	7	142129262	142131886	-1	lncRNA	3789.00852005555	-0.755652542109937	0.13412054979805	2.20115360624824e-11	6.12921226903487e-09		135	H19	7	142129262	142131886	-1	lncRNA	3789.00852005555	-1.31519318445264	0.113221816385096	1.53778620464009e-33	1.84784946753122e-31		1.74638743722428	0.00055	high	0.0804185328185328
6938	ENSMUSG00000000056	Narf	11	121128079	121146682	1	protein_coding	2377.881	-0.05428118	0.07875122	0.3900125	0.6887336		2107	Narf	11	121128079	121146682	1	protein_coding	2377.88109147084	-0.35258052726058	0.0798349189195211	5.29569691356166e-06	4.07334259515397e-05		0.0975856115791609	0.0363	high	0.101424766248575
11733	ENSMUSG00000000058	Cav2	6	17281184	17289114	1	protein_coding	339.1106	0.00594864	0.09715007	0.935342	0.9767732		5002	Cav2	6	17281184	17289114	1	protein_coding	339.110562404778	0.255766144719421	0.108494573536336	0.0127346977352528	0.0412901927252207		0.0523502479585167	0.052275	high	0.104226737184703
17	ENSMUSG00000000078	Klf6	13	5911481	5920393	1	protein_coding	539.471753933608	0.949382257888195	0.132918126564771	1.20292409539614e-15	8.80254117197271e-13	Yes	191	Klf6	13	5911481	5920393	1	protein_coding	539.471753933608	1.2204331837213	0.115425534437454	2.55656300409083e-28	2.17133848441683e-26	Yes	2.08340571858316	0.000425	high	0.0804185328185328
10485	ENSMUSG00000000085	Scmh1	4	120262478	120387383	1	protein_coding	519.2931	-0.01886694	0.08943362	0.7862051	0.9182399	Yes	5808	Scmh1	4	120262478	120387383	1	protein_coding	519.293083258219	-0.204784681392701	0.0985647641634732	0.0297229355855731	0.0830174691923498	Yes	0.0294699797899337	0.06085	high	0.106581015010722
202	ENSMUSG00000000088	Cox5a	9	57428557	57439709	1	protein_coding	3158.00956572797	-0.330815085411392	0.0770454573733141	1.36139033278607e-06	8.25730413727473e-05		226	Cox5a	9	57428557	57439709	1	protein_coding	3158.00956572797	-0.729750088782751	0.0705254636162769	2.36317993947273e-26	1.69626128221799e-24		0.553240520941214	0.00425	high	0.0861177811550152
7720	ENSMUSG00000000093	Tbx2	11	85723377	85732774	1	protein_coding	47.53122	0.05639724	0.1545253	0.4737834	0.7518239	Yes	5410	Tbx2	11	85723377	85732774	1	protein_coding	47.5312188570597	0.413083420828695	0.224814052432065	0.0204135950372488	0.0612105986495842	Yes	0.118917185436739	0.033075	high	0.101056865188139
9538	ENSMUSG00000000094	Tbx4	11	85777248	85806923	1	protein_coding	47.37577	-0.03203561	0.1541936	0.6769165	0.8695273	Yes	13293	Tbx4	11	85777248	85806923	1	protein_coding	47.3757701303317	0.0792522155866644	0.215745539557206	0.645685854988061	0.787911448562986	Yes	-0.000804417984231015	0.10595	low	0.114636704515448
